Alojamiento,Precio,Puntuación,Reseñas,Ubicación,Estrellas,Distrito,Ciudad
BYPILLOW Crosstown,2331.0,8.7,3747,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
"The Palace, a Luxury Collection Hotel, Madrid",6049.0,8.1,844,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Hostal Castilla I Atocha,1795.0,7.8,1122,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Hostal America,2066.0,8.0,2531,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
apartamentos inteligentes en vallecas,802.0,6.8,69,"Puente de Vallecas, Madrid",0.0,Puente de Vallecas,Madrid
Hotel Freedom,2303.0,8.3,1113,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Apartamentos Goya 75,1480.0,6.5,1560,"Salamanca, Madrid",0.0,Salamanca,Madrid
Hotel Regina,5734.0,9.3,6852,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
NH Collection Madrid Palacio de Tepa,4601.0,8.6,1240,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
CC Opera Suites,2266.0,8.5,1157,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
CoolRooms Palacio de Atocha,4963.0,9.4,917,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Pensión Carrera,1734.0,7.4,1548,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Vincci The Mint,6732.0,9.1,4035,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
NeoMagna Madrid,1880.0,7.9,3997,"Salamanca, Madrid",3.0,Salamanca,Madrid
Cituspace Las Tablas - Grañón,1712.0,8.0,8,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Bright with views - 2Bd 1Bth- Av América,1578.0,8.3,12,"Chamartín, Madrid",0.0,Chamartín,Madrid
Abba Madrid,2215.0,8.7,2279,"Salamanca, Madrid",4.0,Salamanca,Madrid
Sonder Santa Ana,3228.0,8.6,2070,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
One Shot Recoletos,3868.0,7.6,1537,"Salamanca, Madrid",4.0,Salamanca,Madrid
Apartamentos Day Madrid SAN ANTONIO Centro Gran Via Sol Malasaña,2117.0,7.0,146,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
"Apartamentos Torr Zona Caja Mágica, Hospital 12 de Octubre - Con Garaje Gratis",1885.0,7.4,34,"Usera, Madrid",0.0,Usera,Madrid
Good Stay Rooms,2045.0,6.9,1339,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
BERNABEU/ C.UNIVERSITARIA APARTMENTS,1501.0,7.1,402,"Tetuán, Madrid",0.0,Tetuán,Madrid
Smartr Madrid Chueca,2460.0,7.4,1812,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apto Centro Aeropuerto Feria Wizink,969.0,7.7,4,"Ciudad Lineal, Madrid",0.0,Ciudad Lineal,Madrid
Design apartment near city center,1474.0,8.5,47,"Puente de Vallecas, Madrid",0.0,Puente de Vallecas,Madrid
La Latina Hub Perfect Location MAD,2561.0,5.5,4,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Francisco I Boutique,4257.0,9.1,3704,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
"URSO Hotel & Spa, a Small Luxury Hotel of the World",138.36,9.0,583,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Cool y Céntrico Apt 6px en Plena Plaza del Carmen E2,1768.0,5.1,10,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal Gran Via 44,2293.0,7.9,2142,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Regente Hotel,4141.0,8.5,5115,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Rosewood Villa Magna,139.37,9.6,273,"Salamanca, Madrid",5.0,Salamanca,Madrid
Apartamentos EconoStay Sol,1188.0,7.5,2,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
limehome Madrid Calle de Juan Hurtado de Mendoza,1742.0,9.0,192,"Chamartín, Madrid",0.0,Chamartín,Madrid
La Estancia de la Ilustración,1497.0,7.2,9,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Céntrico Plaza España - Gran Vía IV,1591.0,0.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Madrid Wanda Aeropuerto Ifema Plenilunio Dy,1061.0,7.7,43,"San Blas, Madrid",0.0,San Blas,Madrid
Hostal Atocha Almudena Martín,1339.0,7.7,2681,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Apartamentos EconoStay Plaza de España,1166.0,7.2,84,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
HOMEABOUT SMART ROOMS Bravo Murillo - SIN RECEPCIÓN,1000.0,7.8,73,"Tetuán, Madrid",0.0,Tetuán,Madrid
Apartamentos Principe 7,2164.0,8.6,3507,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Cituspace Fernán Gonzalez,1515.0,8.8,44,"Retiro, Madrid",0.0,Retiro,Madrid
DELICIAS Calidades LUJO Totalmente Equipado,1504.0,9.0,6,"Arganzuela, Madrid",0.0,Arganzuela,Madrid
El Refugio de Esteban,1206.0,6.5,21,"Ciudad Lineal, Madrid",0.0,Ciudad Lineal,Madrid
CH Otello Rooms I - Madrid,1305.0,7.4,1956,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Paseo Suites Hotel,1315.0,8.8,724,"Villaverde, Madrid",0.0,Villaverde,Madrid
La Paz Apartment,932.0,0.0,0,"Tetuán, Madrid",0.0,Tetuán,Madrid
Charmartin 4 Torres 2 dormitorios ideal para familias y viajeros de negocios CAS292,1291.0,0.0,0,"Chamartín, Madrid",0.0,Chamartín,Madrid
Los herradores de San Miguel,1422.0,5.9,13,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Fancy Apt para 4px en la Plaza del Carmen-Gran Via E2,1153.0,5.9,30,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal Los Andes,1200.0,8.3,366,"Chamberí, Madrid",1.0,Chamberí,Madrid
Las Letras de Santa María,1157.0,6.2,53,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal El Descanso,987.0,7.4,826,"Hortaleza, Madrid",0.0,Hortaleza,Madrid
"Aventura para 3 en Sol, ven a Concepción Jerónima",1045.0,6.0,32,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Valleca Tren Sierra Guadalupe 2,962.0,7.2,24,"Villa de Vallecas, Madrid",0.0,Villa de Vallecas,Madrid
